                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Mese,Giorno,Anno,Mese,Giorno,Titolo,Descrizione,Colore,Gruppo,Fonte,Etichette
-3500,,,-2000,,,Sumeri,"1^ civiltà:invezioni: mattoni,birra,aratro, divisione giorno 24 ore,anno 12 mesi;ruota,barche. Religione politeista.Basi dell'aritmetica e della geometria. Eccellenti astronomi:individuate numerose costellazioni, 5 pianeti",,Civiltà,,
-3100,,,-30,,,Egizi,,,Civiltà,,
-3300,,,-1300,,,Civ. Indiana,,,Civiltà,,
-2018,,,70,,,Ebrei ,,,Civiltà,,
-2500,,,-1500,,,Cretesi,,,Civiltà,,
-2000,,,1500,,,Maya,,,Civiltà,,
-1900,,,-539,,,Babilonesi,,,Civiltà,,
-1700,,,1912,,,Cinesi,,,Civiltà,,
-1600,,,-200,,,Fenici,,,Civiltà,,
-1500,,,-1200,,,Micenei,,,Civiltà,,
-1500,,,-500,,,Civ. Gange,,,Civiltà,,
-1100,,,-612,,,Assiri,,,Civiltà,,
-1000,,,146,,,Greci (Dori),,,Civiltà ,,
-800,,,-300,,,Celti,"Popolazione nomade di origine indoeuropea migrata in Gran Bretagna, Irlanda,Francia, Belgio,  parte della Germania e Italia. Vivevano in tribù e adoravano diverse divinità legate alla natura, con i druidi come figure spirituali. TRADIZIONI: - piante sacre:  Agrifoglio (buon auspicio), Vischio ( fertilità).  Sacrifici umani e animale. Immortalità dell'anima, reincarnazione in altri esseri umani, halloween",,Civiltà,,
-753,,,1453,,,Romani,,,Civiltà ,,
-550,,,-330,,,Medo-Persiani,,,Civiltà ,,
950,,,396,,,Etruschi,,,Civiltà ,,
1428,,,1521,,,Aztechi,,,Civiltà ,,
1438,,,1572,,,Inca,,,Civiltà ,,
